iter	Passed	Remaining
0	48	48174
1	49	24494
2	49	16557
3	50	12579
4	51	10180
5	51	8578
6	52	7434
7	52	6571
8	53	5904
9	54	5389
10	55	4958
11	55	4596
12	57	4342
13	57	4075
14	58	3841
15	59	3633
16	59	3455
17	60	3317
18	61	3182
19	62	3062
20	63	2950
21	63	2843
22	65	2783
23	66	2701
24	67	2620
25	68	2549
26	68	2479
27	69	2409
28	70	2347
29	70	2286
30	71	2229
31	71	2177
32	72	2127
33	73	2081
34	73	2036
35	74	1994
36	75	1955
37	75	1918
38	76	1891
39	77	1860
40	78	1831
41	80	1829
42	80	1800
43	81	1770
44	82	1752
45	83	1725
46	84	1719
47	85	1695
48	86	1681
49	87	1663
50	88	1645
51	89	1624
52	89	1604
53	90	1587
54	91	1569
55	92	1552
56	92	1538
57	93	1521
58	95	1524
59	96	1510
60	97	1493
61	97	1481
62	98	1466
63	99	1451
64	99	1436
65	100	1422
66	101	1413
67	102	1401
68	102	1388
69	103	1377
70	104	1365
71	105	1354
72	106	1346
73	106	1336
74	107	1327
75	108	1317
76	110	1325
77	111	1315
78	111	1304
79	112	1293
80	113	1286
81	115	1289
82	116	1281
83	117	1277
84	117	1268
85	118	1259
86	119	1251
87	121	1255
88	122	1256
89	123	1249
90	124	1241
91	124	1233
92	125	1223
93	126	1214
94	126	1206
95	127	1198
96	127	1189
97	128	1181
98	128	1173
99	129	1165
100	130	1157
101	130	1150
102	131	1142
103	131	1135
104	132	1128
105	132	1120
106	133	1113
107	134	1107
108	134	1102
109	135	1097
110	136	1090
111	136	1084
112	137	1077
113	137	1072
114	138	1066
115	139	1063
116	139	1056
117	140	1050
118	141	1045
119	141	1039
120	142	1035
121	143	1029
122	143	1025
123	144	1022
124	145	1017
125	146	1013
126	146	1007
127	147	1002
128	147	998
129	148	995
130	149	992
131	150	989
132	151	986
133	152	982
134	152	977
135	153	972
136	153	967
137	154	962
138	154	958
139	155	954
140	156	950
141	156	945
142	157	941
143	157	937
144	158	933
145	158	929
146	159	926
147	160	922
148	160	918
149	161	915
150	162	914
151	163	911
152	164	909
153	164	905
154	165	903
155	166	900
156	167	896
157	167	893
158	168	889
159	168	886
160	169	881
161	169	878
162	170	875
163	171	872
164	171	868
165	172	865
166	173	862
167	173	860
168	174	858
169	175	855
170	175	852
171	176	849
172	177	846
173	177	842
174	178	839
175	179	838
176	179	836
177	181	836
178	181	834
179	182	831
180	183	829
181	184	827
182	184	825
183	185	822
184	186	819
185	186	817
186	187	814
187	187	811
188	188	808
189	189	806
190	189	803
191	190	800
192	190	798
193	191	795
194	192	792
195	192	790
196	193	789
197	194	787
198	195	785
199	195	783
200	196	781
201	197	779
202	197	777
203	198	774
204	199	772
205	199	770
206	200	767
207	200	765
208	201	762
209	202	760
210	202	758
211	203	756
212	204	754
213	204	751
214	205	750
215	206	748
216	206	746
217	207	743
218	209	748
219	210	748
220	211	746
221	212	744
222	212	742
223	213	739
224	214	737
225	214	735
226	215	733
227	216	731
228	216	729
229	217	727
230	217	724
231	218	722
232	218	720
233	219	719
234	220	716
235	220	714
236	221	712
237	221	710
238	222	708
239	222	706
240	223	704
241	224	702
242	225	701
243	225	698
244	226	696
245	226	695
246	227	694
247	228	693
248	229	691
249	229	689
250	230	687
251	231	685
252	231	684
253	232	682
254	232	680
255	233	678
256	234	677
257	234	675
258	235	674
259	236	672
260	236	670
261	237	668
262	238	667
263	239	666
264	241	670
265	242	669
266	243	667
267	243	665
268	244	663
269	244	662
270	245	660
271	246	659
272	246	657
273	247	655
274	248	654
275	248	652
276	249	650
277	249	648
278	250	647
279	251	645
280	251	644
281	252	642
282	252	640
283	253	639
284	254	637
285	254	636
286	255	635
287	256	633
288	256	631
289	257	630
290	258	628
291	258	627
292	259	625
293	259	623
294	260	622
295	260	620
296	261	618
297	262	617
298	262	616
299	263	614
300	264	613
301	264	611
302	265	610
303	265	608
304	266	607
305	266	605
306	267	603
307	268	602
308	268	601
309	269	600
310	270	599
311	271	597
312	271	596
313	272	595
314	273	593
315	273	592
316	274	590
317	274	589
318	275	588
319	276	586
320	276	585
321	277	583
322	277	582
323	278	580
324	279	579
325	279	578
326	280	576
327	280	575
328	281	574
329	282	572
330	282	571
331	283	570
332	284	568
333	284	567
334	285	566
335	285	564
336	286	563
337	287	562
338	287	561
339	288	560
340	289	559
341	290	558
342	291	557
343	292	557
344	292	556
345	293	554
346	294	554
347	295	553
348	295	552
349	296	550
350	297	549
351	297	548
352	298	547
353	299	546
354	300	545
355	300	544
356	302	544
357	303	544
358	305	545
359	306	544
360	306	543
361	307	542
362	308	540
363	308	539
364	309	538
365	310	537
366	310	535
367	311	534
368	312	533
369	312	532
370	313	531
371	316	533
372	316	532
373	317	531
374	318	530
375	318	529
376	319	527
377	320	526
378	320	525
379	322	525
380	322	524
381	323	523
382	324	522
383	325	521
384	326	521
385	327	521
386	329	521
387	329	520
388	330	519
389	331	518
390	331	516
391	332	515
392	333	514
393	334	514
394	335	513
395	335	512
396	336	511
397	337	509
398	337	508
399	338	507
400	338	506
401	339	504
402	339	503
403	340	502
404	341	501
405	341	500
406	342	499
407	343	497
408	343	496
409	345	496
410	345	495
411	346	494
412	347	493
413	347	492
414	348	491
415	348	489
416	349	488
417	350	487
418	351	487
419	351	486
420	352	485
421	353	484
422	353	482
423	354	481
424	355	480
425	355	479
426	356	478
427	357	477
428	358	477
429	359	476
430	359	474
431	360	473
432	362	474
433	362	472
434	363	471
435	363	470
436	364	469
437	365	468
438	365	467
439	366	466
440	366	465
441	367	463
442	367	462
443	368	461
444	369	460
445	370	459
446	370	458
447	371	458
448	372	457
449	373	456
450	373	455
451	374	454
452	375	453
453	375	451
454	376	450
455	377	449
456	377	448
457	378	447
458	378	446
459	379	445
460	379	444
461	380	443
462	381	442
463	381	441
464	382	440
465	383	438
466	383	437
467	384	436
468	384	435
469	385	434
470	385	433
471	391	438
472	393	438
473	394	437
474	394	436
475	395	435
476	396	434
477	396	433
478	397	432
479	398	431
480	399	430
481	399	429
482	400	428
483	401	427
484	402	426
485	403	427
486	405	427
487	406	426
488	407	425
489	408	425
490	409	424
491	409	423
492	410	422
493	411	421
494	411	420
495	412	418
496	412	417
497	413	416
498	414	415
499	414	414
